"value","trial_type","trial_index","time_elapsed","internal_node_id","subject","browser_info","participant_number","rt","responses","view_history","presentation_start_time","id","text","response","keypresses","answer","correct","study","experimenter_rt"
"","html-voicekey-response","148","685248","0.0-4.144-0.144","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","1034.4150000108407","","","1558339287274","17","","Leipzig","[]","Leipzig","true","false","1459.885000003851"
"","html-voicekey-response","149","706381","0.0-4.145-0.145","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","16584.029999992556","","","1558339289340","28","","","[]","Regensburg","false","false","17126.524999999674"
"","html-voicekey-response","150","708435","0.0-4.146-0.146","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","1004.7699999939417","","","1558339310473","29","","Jena","[]","Jena","true","false","1446.974999998929"
"","html-voicekey-response","151","711785","0.0-4.147-0.147","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","2285.1249999892666","","","1558339312526","21","","Konstanz","[]","Konstanz","true","false","2744.6599999966566"
"","html-voicekey-response","152","713602","0.0-4.148-0.148","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","849.8499999930849","","","1558339315877","30","","Bremen","[]","Bremen","true","false","1209.210000000894"
"","html-voicekey-response","153","720408","0.0-4.149-0.149","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","5707.770000002556","","","1558339317694","25","","Osnabrück","[]","Osnabrück","true","false","6199.180000010529"
"","html-voicekey-response","154","722774","0.0-4.150-0.150","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","1252.2100000004052","","","1558339324499","28","","Regensburg","[]","Regensburg","true","false","1760.2550000010524"
"","html-voicekey-response","155","725317","0.0-4.151-0.151","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","1485.624999995553","","","1558339326866","15","","Nürnberg","[]","Nürnberg","true","false","1936.0750000050757"
"","html-voicekey-response","156","728234","0.0-4.152-0.152","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","1817.0000000044006","","","1558339329409","25","","Osnabrück","[]","Osnabrück","true","false","2309.785000004922"
"","html-voicekey-response","157","746016","0.0-4.153-0.153","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","13199.180000004917","","","1558339332325","27","","","[]","Tübingen","false","false","13775.175000002491"
